"Excl. VAT","Exkl. MwSt.",""
"FREE","KOSTENLOS",""
"Filter Fields Row #{0}: Fieldname {1} must be of type 'Link' or 'Table MultiSelect'","Filterfelder Zeile #{0}: Feldname {1} muss vom Typ 'Link' oder 'Table MultiSelect' sein",""
"Filters and Categories","Filter und Kategorien",""
"Follow these steps to create a landing page for your store","Folgen Sie diesen Schritten, um eine Startseite fuer Ihren Shop zu erstellen",""
"Frappe School","Frappe School",""
"Go to Cart","Zum Warenkorb",""
"Go to Quote","Zum Angebot",""
"Guest Display Settings","Anzeigeeinstellungen fuer Gaeste",""
"Hide Price for Guest","Preis fuer Gaeste ausblenden",""
"Image Alternative Text","Alternativtext fuer Bild",""
"Indicate that Item is available on backorder and not usually pre-stocked","Kennzeichnen, dass der Artikel im Rueckstand verfuegbar ist und normalerweise nicht vorraetig ist",""
"Is Redisearch Loaded","Ist Redisearch geladen",""
"Item Code is required","Artikelnummer ist erforderlich",""
"In stock","Auf Lager",""
"Item Review","Artikelbewertung",""
"Item Search Settings","Einstellungen fuer Artikelsuche",""
"Items with higher ranking will be shown higher","Artikel mit hoeherer Rangfolge werden weiter oben angezeigt",""
"Link to redirect Guest on actions that need login such as add to cart, wishlist, etc. <b>E.g.: /login</b>","Link zur Weiterleitung von Gaesten bei Aktionen, die eine Anmeldung erfordern, z. B. Warenkorb, Wunschliste usw. <b>Z. B.: /login</b>",""
"Login Required to View Products","Anmeldung erforderlich, um Produkte anzusehen",""
"Limited quantity available ({0} in stock)","Begrenzte Menge verfuegbar ({0} auf Lager)",""
"Missing","Fehlt",""
"Missing Currency","Waehrung fehlt",""
"Matching Variants","Passende Varianten",""
"Move to Cart","In den Warenkorb verschieben",""
"Net Total ({0} Items)","Nettosumme ({0} Positionen)",""
"Net Total (","Nettosumme (",""
"No Reviews","Keine Bewertungen",""
"No variants available for the selected filters.","Keine Varianten fuer die ausgewaehlten Filter verfuegbar.",""
"No searches yet.","Noch keine Suchanfragen.",""
"OFF","RABATT",""
"Offer Details","Angebotsdetails",""
"Offer Subtitle","Angebotsuntertitel",""
"Offer Title","Angebotstitel",""
"Offers","Angebote",""
"Offers to Display","Anzuzeigende Angebote",""
"On Backorder","Im Rueckstand",""
"Out of stock","Nicht auf Lager",""
"Overall Rating","Gesamtbewertung",""
"Past Orders","Fruehere Bestellungen",""
"Past Quotes","Fruehere Angebote",""
"Payment Gateway Account not set","Zahlungsanbieter-Konto ist nicht festgelegt",""
"Allowed Brands","Erlaubte Marken",""
"Brands visible for customers assigned to this Customer Group in the webshop.","Marken, die fuer Kunden dieser Kundengruppe im Webshop sichtbar sind.",""
"Related Delivery Notes","Zugehoerige Lieferscheine",""
"Documents","Dokumente",""
"Delivery Note","Lieferschein",""
"Related Documents","Zugehoerige Dokumente",""
"Customer Details","Kundendaten",""
"Billing Details","Rechnungsdaten",""
"Delivery Details","Lieferdaten",""
"No billing details","Keine Rechnungsdaten",""
"No delivery details","Keine Lieferdaten",""
"Created","Erstellt",""
"Submitted","Eingereicht",""
"Not Submitted","Nicht eingereicht",""
"Related Sales Invoices","Zugehörige Ausgangsrechnungen",""
"Sales Invoice","Ausgangsrechnung",""
"Payment Summary","Zahlungsübersicht",""
"Product Details","Produktdetails",""
"Price","Preis",""
"Publishing Item ...","Artikel wird veroeffentlicht ...",""
"Quantity","Menge",""
"Qty ","Menge ",""
"Ranking","Rangfolge",""
"Recent","Neueste",""
"Recommended","Empfohlen",""
"Recommended Items","Empfohlene Artikel",""
"Recommended/Similar Items","Empfohlene/aehnliche Artikel",""
"Redirect on Action","Bei Aktion weiterleiten",""
"Redisearch Error","Redisearch-Fehler",""
"Redisearch Warning","Redisearch-Warnung",""
"Request Quote","Angebot anfordern",""
"Request for Quote","Angebot anfordern",""
"Review Submitted","Bewertung gesendet",""
"Review Title","Bewertungstitel",""
"Row #{0}: Item {1} must have a Website Item for Shopping Cart Quotations","Zeile #{0}: Artikel {1} muss einen Website-Artikel fuer Warenkorbangebote haben",""
"Savings","Ersparnis",""
"Search Index Fields","Suchindexfelder",""
"Search and SEO","Suche und SEO",""
"Search for Products","Nach Produkten suchen",""
"Select at least one variant quantity.","Wählen Sie mindestens eine Variantenmenge aus.",""
"Select one or more values for {0}.","Wählen Sie einen oder mehrere Werte für {0} aus.",""
"Select one or more values for {0} and {1} to see matching variants.","Wählen Sie einen oder mehrere Werte für {0} und {1} aus, um passende Varianten zu sehen.",""
"Select Variant","Variante auswählen",""
"Select Variant for {0}","Variante für {0} auswählen",""
"Select {0} and {1} to see matching variants.","Wählen Sie {0} und {1} aus, um passende Varianten zu sehen.",""
"Selected Variant","Ausgewählte Variante",""
"Set Address","Adresse festlegen",""
"Select Address","Adresse auswählen",""
"Shop by Category","Nach Kategorie einkaufen",""
"Short Description for List View","Kurzbeschreibung fuer Listenansicht",""
"Short Website Description","Kurze Website-Beschreibung",""
"SKU","SKU",""
"See past quotations","Frühere Angebote ansehen",""
"Show Price in Quotation","Preis im Angebot anzeigen",""
"Show Stock availability based on this warehouse.","Lagerverfuegbarkeit auf Basis dieses Lagers anzeigen.",""
"Something went wrong!","Etwas ist schiefgelaufen!",""
"Something went wrong. Check {0}","Etwas ist schiefgelaufen. Pruefen Sie {0}",""
"Something went wrong. Please refresh or contact us.","Etwas ist schiefgelaufen. Bitte aktualisieren Sie die Seite oder kontaktieren Sie uns.",""
"Sorry, something went wrong. Please refresh.","Entschuldigung, etwas ist schiefgelaufen. Bitte aktualisieren Sie die Seite.",""
"Stock Information","Lagerinformationen",""
"Submitting Review ...","Bewertung wird gesendet ...",""
"Tabs","Tabs",""
"Thank you for submitting your review","Vielen Dank fuer Ihre Bewertung",""
"Thank you for the review","Vielen Dank fuer die Bewertung",""
"The field filters will also work as categories in the <b>Shop by Category</b> page.","Die Feldfilter funktionieren auch als Kategorien auf der Seite <b>Nach Kategorie einkaufen</b>.",""
"Unpublished Item","Nicht veroeffentlichter Artikel",""
"User Forum","Benutzerforum",""
"View Past Orders","Frühere Bestellungen ansehen",""
"View Past Quotes","Frühere Angebote ansehen",""
"View More","Mehr anzeigen",""
"View Website Item","Website-Artikel ansehen",""
"View all reviews","Alle Bewertungen ansehen",""
"View in Quote","Im Angebot ansehen",""
"WEB-ITM-.####","WEB-ITM-.####",""
"Webshop","Webshop",""
"Webshop Settings","Webshop-Einstellungen",""
"Website Item","Website-Artikel",""
"Website Item Fields","Website-Artikel-Felder",""
"Website Item Image","Website-Artikelbild",""
"Website Item Name","Website-Artikelname",""
"Website Item Tabbed Section","Tab-Abschnitt fuer Website-Artikel",""
"Website Item Thumbnail","Miniaturbild des Website-Artikels",""
"Website Item already exists against Item {0}","Website-Artikel existiert bereits fuer Artikel {0}",""
"Website Item already exists against {0}","Website-Artikel existiert bereits fuer {0}",""
"Website Item not found","Website-Artikel nicht gefunden",""
"Website Item {0} has been created.","Website-Artikel {0} wurde erstellt.",""
"Website Offer","Website-Angebot",""
"Website display name","Anzeigename auf der Website",""
"Wishlist","Wunschliste",""
"Wishlist Item","Wunschlistenposition",""
"Wishlist is empty !","Wunschliste ist leer!",""
"Wishlist is empty!","Wunschliste ist leer!",""
"You are not a verified customer yet. Please contact us to proceed.","Sie sind noch kein verifizierter Kunde. Bitte kontaktieren Sie uns, um fortzufahren.",""
"You are not verified to write a review yet.","Sie sind noch nicht berechtigt, eine Bewertung zu schreiben.",""
"You have {0} item in your cart","Sie haben {0} Artikel in Ihrem Warenkorb",""
"You have {0} items in your cart","Sie haben {0} Artikel in Ihrem Warenkorb",""
"Your Review","Ihre Bewertung",""
"Are you sure you want to empty your cart?","Möchten Sie den Warenkorb wirklich leeren?",""
"Billing Address","Rechnungsadresse",""
"Checkout","Zur Kasse",""
"Coupon code","Gutscheincode",""
"Rate:","Preis:",""
"out of 5","von 5",""
"{0} Not in Stock","{0} ist nicht auf Lager",""
"{0} item found.","{0} Artikel gefunden.",""
"{0} items found.","{0} Artikel gefunden.",""
"{0} are not valid options for Search Index Field.","{0} sind keine gueltigen Optionen fuer das Suchindexfeld.",""
"{0} is not a valid option for Search Index Field.","{0} ist keine gueltige Option fuer das Suchindexfeld.",""
"{0} selected","{0} ausgewählt",""
"{0}% and below","{0}% und darunter",""
"Add to Cart","In den Warenkorb",""
"Cannot find a matching Item. Please select some other value for {0}.","Kein passender Artikel gefunden. Bitte wählen Sie einen anderen Wert für {0} aus.",""
"Cart is Empty","Warenkorb ist leer",""
"Categories","Kategorien",""
"Clear values","Werte löschen",""
"Discounts","Rabatte",""
"Enter value betweeen {0} and {1}","Geben Sie einen Wert zwischen {0} und {1} ein",""
"Explore","Entdecken",""
"Item Code","Artikelnummer",""
"Made to order","Auf Bestellung",""
"No products found","Keine Produkte gefunden",""
"Organization Name","Organisationsname",""
"Pay Remaining","Restbetrag bezahlen",""
"Phone Number","Telefonnummer",""
"Prev","Zurück",""
"Prices","Preise",""
"Stock","Lagerbestand",""
"Value must be between {0} and {1}","Wert muss zwischen {0} und {1} liegen",""
"Variant","Variante",""
"Write a Review","Bewertung schreiben",""
"Products per Page","Produkte pro Seite",""
"Hide Variants","Varianten ausblenden",""
"Enable Attribute Filters","Attributfilter aktivieren",""
"Attributes","Attribute",""
"Enable Shopping Cart","Warenkorb aktivieren",""
"Show Public Attachments","Öffentliche Anhänge anzeigen",""
"Show Price","Preis anzeigen",""
"Show Stock Availability","Lagerverfügbarkeit anzeigen",""
"Show Contact Us Button","Schaltfläche Kontakt anzeigen",""
"Show Stock Quantity","Lagermenge anzeigen",""
"Show Apply Coupon Code","Feld für Gutscheincode anzeigen",""
"Allow items not in stock to be added to cart","Nicht lagernde Artikel dürfen in den Warenkorb gelegt werden",""
"Shopping Cart","Warenkorb",""
"Company","Firma",""
"Price List","Preisliste",""
"Prices will not be shown if Price List is not set","Preise werden nicht angezeigt, wenn keine Preisliste festgelegt ist",""
"Default Customer Group","Standard-Kundengruppe",""
"Quotation Series","Angebotsserie",""
"Checkout Settings","Checkout-Einstellungen",""
"Enable Checkout","Checkout aktivieren",""
"Allow Checkout Without Payment","Checkout ohne Zahlung erlauben",""
"No topper","Ohne Topper",""
"Allow creating a Sales Order from the cart without configuring a Payment Gateway Account.","Erlaubt das Erstellen eines Kundenauftrags aus dem Warenkorb ohne konfiguriertes Zahlungsanbieter-Konto.",""
"Show Request Quote Button","Schaltfläche Angebot anfordern anzeigen",""
"Payment Success Url","URL nach erfolgreicher Zahlung",""
"After payment completion redirect user to selected page.","Benutzer nach Abschluss der Zahlung auf die ausgewählte Seite weiterleiten.",""
"Save Quotations as Draft","Angebote als Entwurf speichern",""
"Payment Gateway Account","Zahlungsanbieter-Konto",""
"Slideshow","Diashow",""
"Shipping Address","Lieferadresse",""
"Billing Address is same as Shipping Address","Rechnungsadresse entspricht der Lieferadresse",""
"Pickup from warehouse: {0}","Abholung im Lager: {0}",""
"Shipping costs will not be added.","Versandkosten werden nicht berechnet.",""
"Warehouse Pickup","Lagerabholung",""
"Pickup from Warehouse","Abholung im Lager",""
"Pickup Warehouse","Abhollager",""
"Enable Warehouse Pickup","Lagerabholung aktivieren",""
"Show a warehouse pickup option in the webshop checkout.","Zeigt eine Option zur Lagerabholung im Webshop-Checkout an.",""
"Warehouse name and address shown to customers for pickup orders.","Lagername und Adresse werden Kunden bei Abholbestellungen angezeigt.",""
"Warehouse pickup is not enabled in Webshop Settings.","Lagerabholung ist in den Webshop-Einstellungen nicht aktiviert.",""
"Set Pickup Warehouse in Webshop Settings before enabling pickup.","Legen Sie ein Abhollager in den Webshop-Einstellungen fest, bevor Sie die Abholung aktivieren.",""
"Link an Address to Warehouse {0} before enabling pickup.","Verknüpfen Sie eine Adresse mit Lager {0}, bevor Sie die Abholung aktivieren.",""
"Pickup Warehouse {0} is disabled.","Abhollager {0} ist deaktiviert.",""
"Pickup Warehouse {0} must not be a group warehouse.","Abhollager {0} darf kein Gruppenlager sein.",""
"Set Shipping Address or Billing Address","Legen Sie eine Lieferadresse oder Rechnungsadresse fest",""
"Only {0} in Stock for item {1}","Nur {0} auf Lager für Artikel {1}",""
"Awaiting Approval","Wartet auf Freigabe",""
"Accepted Order","Bestellung angenommen",""
"Ready for Pickup","Bereit zur Abholung",""
"In Production","In Produktion",""
